// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\obj\Release\net8.0/" /p:OutDir="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0/" /p:OutputPath="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0/" in C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c
// command took 0.76 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\obj\Release\net8.0/" /p:OutDir="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0/" /p:OutputPath="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0/" --output "C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0/" in C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c
// command took 3.04 sec and exited with 0
// ***** Done, took 00:00:03 (3.85 sec)   *****
// Found 4 benchmarks:
//   PQSecondTest.MyPriorityQueueAdd: DefaultJob
//   PQSecondTest.BuiltInPriorityQueueAdd: DefaultJob
//   PQSecondTest.MyPriorityQueueAddAndRemove: DefaultJob
//   PQSecondTest.BuiltInPriorityQueueAddAndRemove: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
OverheadActual   8: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   9: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  10: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  11: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  12: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual  13: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  14: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  15: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  16: 32 op, 200.00 ns, 6.2500 ns/op
OverheadActual  17: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual  18: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  19: 32 op, 1100.00 ns, 34.3750 ns/op
OverheadActual  20: 32 op, 700.00 ns, 21.8750 ns/op

WorkloadWarmup   1: 32 op, 1016853200.00 ns, 31.7767 ms/op
WorkloadWarmup   2: 32 op, 999948700.00 ns, 31.2484 ms/op
WorkloadWarmup   3: 32 op, 996997400.00 ns, 31.1562 ms/op
WorkloadWarmup   4: 32 op, 983916300.00 ns, 30.7474 ms/op
WorkloadWarmup   5: 32 op, 982883800.00 ns, 30.7151 ms/op
WorkloadWarmup   6: 32 op, 987486400.00 ns, 30.8590 ms/op
WorkloadWarmup   7: 32 op, 996672700.00 ns, 31.1460 ms/op
WorkloadWarmup   8: 32 op, 983321300.00 ns, 30.7288 ms/op
WorkloadWarmup   9: 32 op, 1003181200.00 ns, 31.3494 ms/op
WorkloadWarmup  10: 32 op, 994166600.00 ns, 31.0677 ms/op

// BeforeActualRun
WorkloadActual   1: 32 op, 1024290200.00 ns, 32.0091 ms/op
WorkloadActual   2: 32 op, 985750000.00 ns, 30.8047 ms/op
WorkloadActual   3: 32 op, 996500500.00 ns, 31.1406 ms/op
WorkloadActual   4: 32 op, 1003022300.00 ns, 31.3444 ms/op
WorkloadActual   5: 32 op, 998545800.00 ns, 31.2046 ms/op
WorkloadActual   6: 32 op, 980700300.00 ns, 30.6469 ms/op
WorkloadActual   7: 32 op, 969785500.00 ns, 30.3058 ms/op
WorkloadActual   8: 32 op, 993105700.00 ns, 31.0346 ms/op
WorkloadActual   9: 32 op, 1023070500.00 ns, 31.9710 ms/op
WorkloadActual  10: 32 op, 975286800.00 ns, 30.4777 ms/op
WorkloadActual  11: 32 op, 963350300.00 ns, 30.1047 ms/op
WorkloadActual  12: 32 op, 997264700.00 ns, 31.1645 ms/op
WorkloadActual  13: 32 op, 1000574400.00 ns, 31.2680 ms/op
WorkloadActual  14: 32 op, 996862300.00 ns, 31.1519 ms/op
WorkloadActual  15: 32 op, 996953000.00 ns, 31.1548 ms/op

// AfterActualRun
WorkloadResult   1: 32 op, 985749500.00 ns, 30.8047 ms/op
WorkloadResult   2: 32 op, 996500000.00 ns, 31.1406 ms/op
WorkloadResult   3: 32 op, 1003021800.00 ns, 31.3444 ms/op
WorkloadResult   4: 32 op, 998545300.00 ns, 31.2045 ms/op
WorkloadResult   5: 32 op, 980699800.00 ns, 30.6469 ms/op
WorkloadResult   6: 32 op, 969785000.00 ns, 30.3058 ms/op
WorkloadResult   7: 32 op, 993105200.00 ns, 31.0345 ms/op
WorkloadResult   8: 32 op, 1023070000.00 ns, 31.9709 ms/op
WorkloadResult   9: 32 op, 975286300.00 ns, 30.4777 ms/op
WorkloadResult  10: 32 op, 963349800.00 ns, 30.1047 ms/op
WorkloadResult  11: 32 op, 997264200.00 ns, 31.1645 ms/op
WorkloadResult  12: 32 op, 1000573900.00 ns, 31.2679 ms/op
WorkloadResult  13: 32 op, 996861800.00 ns, 31.1519 ms/op
WorkloadResult  14: 32 op, 996952500.00 ns, 31.1548 ms/op

// AfterAll
// Benchmark Process 29264 has exited with code 0.

Mean = 30.984 ms, StdErr = 0.128 ms (0.41%), N = 14, StdDev = 0.479 ms
Min = 30.105 ms, Q1 = 30.686 ms, Median = 31.146 ms, Q3 = 31.195 ms, Max = 31.971 ms
IQR = 0.508 ms, LowerFence = 29.924 ms, UpperFence = 31.957 ms
ConfidenceInterval = [30.443 ms; 31.524 ms] (CI 99.9%), Margin = 0.541 ms (1.74% of Mean)
Skewness = -0.07, Kurtosis = 2.53, MValue = 2

// ** Remained 3 (75,0 %) benchmark(s) to run. Estimated finish 2025-05-15 21:23 (0h 1m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
// **************************
// Benchmark: PQSecondTest.BuiltInPriorityQueueAdd: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 34e81467-f86a-4981-859e-d24fa875db2c.dll --anonymousPipes 1416 1412 --benchmarkName Algo.PriorityQueue.PQSecondTest.BuiltInPriorityQueueAdd --job Default --benchmarkId 1 in C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 127200.00 ns, 127.2000 us/op
WorkloadJitting  1: 1 op, 7338500.00 ns, 7.3385 ms/op

OverheadJitting  2: 16 op, 126500.00 ns, 7.9063 us/op
WorkloadJitting  2: 16 op, 77141700.00 ns, 4.8214 ms/op

WorkloadPilot    1: 16 op, 76222100.00 ns, 4.7639 ms/op
WorkloadPilot    2: 32 op, 155552900.00 ns, 4.8610 ms/op
WorkloadPilot    3: 64 op, 303501100.00 ns, 4.7422 ms/op
WorkloadPilot    4: 128 op, 610786200.00 ns, 4.7718 ms/op

OverheadWarmup   1: 128 op, 2000.00 ns, 15.6250 ns/op
OverheadWarmup   2: 128 op, 600.00 ns, 4.6875 ns/op
OverheadWarmup   3: 128 op, 700.00 ns, 5.4688 ns/op
OverheadWarmup   4: 128 op, 600.00 ns, 4.6875 ns/op
OverheadWarmup   5: 128 op, 700.00 ns, 5.4688 ns/op
OverheadWarmup   6: 128 op, 700.00 ns, 5.4688 ns/op

OverheadActual   1: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual   2: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   3: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual   4: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual   5: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual   6: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual   7: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual   8: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   9: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  10: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  11: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  12: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  13: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  14: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  15: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  16: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  17: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  18: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  19: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  20: 128 op, 600.00 ns, 4.6875 ns/op

WorkloadWarmup   1: 128 op, 604833100.00 ns, 4.7253 ms/op
WorkloadWarmup   2: 128 op, 610092100.00 ns, 4.7663 ms/op
WorkloadWarmup   3: 128 op, 604933600.00 ns, 4.7260 ms/op
WorkloadWarmup   4: 128 op, 604553200.00 ns, 4.7231 ms/op
WorkloadWarmup   5: 128 op, 615349500.00 ns, 4.8074 ms/op
WorkloadWarmup   6: 128 op, 599225700.00 ns, 4.6815 ms/op

// BeforeActualRun
WorkloadActual   1: 128 op, 613939200.00 ns, 4.7964 ms/op
WorkloadActual   2: 128 op, 609738000.00 ns, 4.7636 ms/op
WorkloadActual   3: 128 op, 609103800.00 ns, 4.7586 ms/op
WorkloadActual   4: 128 op, 615236500.00 ns, 4.8065 ms/op
WorkloadActual   5: 128 op, 608975900.00 ns, 4.7576 ms/op
WorkloadActual   6: 128 op, 605755100.00 ns, 4.7325 ms/op
WorkloadActual   7: 128 op, 607823400.00 ns, 4.7486 ms/op
WorkloadActual   8: 128 op, 610149700.00 ns, 4.7668 ms/op
WorkloadActual   9: 128 op, 599795100.00 ns, 4.6859 ms/op
WorkloadActual  10: 128 op, 609735700.00 ns, 4.7636 ms/op
WorkloadActual  11: 128 op, 611545500.00 ns, 4.7777 ms/op
WorkloadActual  12: 128 op, 608164500.00 ns, 4.7513 ms/op
WorkloadActual  13: 128 op, 612385900.00 ns, 4.7843 ms/op
WorkloadActual  14: 128 op, 608012800.00 ns, 4.7501 ms/op
WorkloadActual  15: 128 op, 608273000.00 ns, 4.7521 ms/op

// AfterActualRun
WorkloadResult   1: 128 op, 613938550.00 ns, 4.7964 ms/op
WorkloadResult   2: 128 op, 609737350.00 ns, 4.7636 ms/op
WorkloadResult   3: 128 op, 609103150.00 ns, 4.7586 ms/op
WorkloadResult   4: 128 op, 608975250.00 ns, 4.7576 ms/op
WorkloadResult   5: 128 op, 605754450.00 ns, 4.7325 ms/op
WorkloadResult   6: 128 op, 607822750.00 ns, 4.7486 ms/op
WorkloadResult   7: 128 op, 610149050.00 ns, 4.7668 ms/op
WorkloadResult   8: 128 op, 599794450.00 ns, 4.6859 ms/op
WorkloadResult   9: 128 op, 609735050.00 ns, 4.7636 ms/op
WorkloadResult  10: 128 op, 611544850.00 ns, 4.7777 ms/op
WorkloadResult  11: 128 op, 608163850.00 ns, 4.7513 ms/op
WorkloadResult  12: 128 op, 612385250.00 ns, 4.7843 ms/op
WorkloadResult  13: 128 op, 608012150.00 ns, 4.7501 ms/op
WorkloadResult  14: 128 op, 608272350.00 ns, 4.7521 ms/op

// AfterAll
// Benchmark Process 20912 has exited with code 0.

Mean = 4.756 ms, StdErr = 0.007 ms (0.15%), N = 14, StdDev = 0.026 ms
Min = 4.686 ms, Q1 = 4.750 ms, Median = 4.758 ms, Q3 = 4.766 ms, Max = 4.796 ms
IQR = 0.016 ms, LowerFence = 4.727 ms, UpperFence = 4.789 ms
ConfidenceInterval = [4.727 ms; 4.786 ms] (CI 99.9%), Margin = 0.029 ms (0.61% of Mean)
Skewness = -1.09, Kurtosis = 4.49, MValue = 2

// ** Remained 2 (50,0 %) benchmark(s) to run. Estimated finish 2025-05-15 21:23 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
// **************************
// Benchmark: PQSecondTest.MyPriorityQueueAddAndRemove: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 34e81467-f86a-4981-859e-d24fa875db2c.dll --anonymousPipes 1228 1448 --benchmarkName Algo.PriorityQueue.PQSecondTest.MyPriorityQueueAddAndRemove --job Default --benchmarkId 2 in C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 119900.00 ns, 119.9000 us/op
WorkloadJitting  1: 1 op, 179897800.00 ns, 179.8978 ms/op

WorkloadPilot    1: 2 op, 224477600.00 ns, 112.2388 ms/op
WorkloadPilot    2: 3 op, 333976600.00 ns, 111.3255 ms/op
WorkloadPilot    3: 4 op, 436184500.00 ns, 109.0461 ms/op
WorkloadPilot    4: 5 op, 571013100.00 ns, 114.2026 ms/op

WorkloadWarmup   1: 5 op, 548897700.00 ns, 109.7795 ms/op
WorkloadWarmup   2: 5 op, 547669400.00 ns, 109.5339 ms/op
WorkloadWarmup   3: 5 op, 550461600.00 ns, 110.0923 ms/op
WorkloadWarmup   4: 5 op, 532865600.00 ns, 106.5731 ms/op
WorkloadWarmup   5: 5 op, 550610200.00 ns, 110.1220 ms/op
WorkloadWarmup   6: 5 op, 570746400.00 ns, 114.1493 ms/op
WorkloadWarmup   7: 5 op, 548016000.00 ns, 109.6032 ms/op

// BeforeActualRun
WorkloadActual   1: 5 op, 551314900.00 ns, 110.2630 ms/op
WorkloadActual   2: 5 op, 582710000.00 ns, 116.5420 ms/op
WorkloadActual   3: 5 op, 550164400.00 ns, 110.0329 ms/op
WorkloadActual   4: 5 op, 546417800.00 ns, 109.2836 ms/op
WorkloadActual   5: 5 op, 539855300.00 ns, 107.9711 ms/op
WorkloadActual   6: 5 op, 553114400.00 ns, 110.6229 ms/op
WorkloadActual   7: 5 op, 549334200.00 ns, 109.8668 ms/op
WorkloadActual   8: 5 op, 550969000.00 ns, 110.1938 ms/op
WorkloadActual   9: 5 op, 551273200.00 ns, 110.2546 ms/op
WorkloadActual  10: 5 op, 548649300.00 ns, 109.7299 ms/op
WorkloadActual  11: 5 op, 537755800.00 ns, 107.5512 ms/op
WorkloadActual  12: 5 op, 568785900.00 ns, 113.7572 ms/op
WorkloadActual  13: 5 op, 550984700.00 ns, 110.1969 ms/op
WorkloadActual  14: 5 op, 538262100.00 ns, 107.6524 ms/op
WorkloadActual  15: 5 op, 552423900.00 ns, 110.4848 ms/op

// AfterActualRun
WorkloadResult   1: 5 op, 551314900.00 ns, 110.2630 ms/op
WorkloadResult   2: 5 op, 550164400.00 ns, 110.0329 ms/op
WorkloadResult   3: 5 op, 546417800.00 ns, 109.2836 ms/op
WorkloadResult   4: 5 op, 539855300.00 ns, 107.9711 ms/op
WorkloadResult   5: 5 op, 553114400.00 ns, 110.6229 ms/op
WorkloadResult   6: 5 op, 549334200.00 ns, 109.8668 ms/op
WorkloadResult   7: 5 op, 550969000.00 ns, 110.1938 ms/op
WorkloadResult   8: 5 op, 551273200.00 ns, 110.2546 ms/op
WorkloadResult   9: 5 op, 548649300.00 ns, 109.7299 ms/op
WorkloadResult  10: 5 op, 537755800.00 ns, 107.5512 ms/op
WorkloadResult  11: 5 op, 550984700.00 ns, 110.1969 ms/op
WorkloadResult  12: 5 op, 538262100.00 ns, 107.6524 ms/op
WorkloadResult  13: 5 op, 552423900.00 ns, 110.4848 ms/op

// AfterAll
// Benchmark Process 35552 has exited with code 0.

Mean = 109.546 ms, StdErr = 0.304 ms (0.28%), N = 13, StdDev = 1.095 ms
Min = 107.551 ms, Q1 = 109.284 ms, Median = 110.033 ms, Q3 = 110.255 ms, Max = 110.623 ms
IQR = 0.971 ms, LowerFence = 107.827 ms, UpperFence = 111.711 ms
ConfidenceInterval = [108.235 ms; 110.858 ms] (CI 99.9%), Margin = 1.311 ms (1.20% of Mean)
Skewness = -0.89, Kurtosis = 2.03, MValue = 2

// ** Remained 1 (25,0 %) benchmark(s) to run. Estimated finish 2025-05-15 21:23 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
// **************************
// Benchmark: PQSecondTest.BuiltInPriorityQueueAddAndRemove: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 34e81467-f86a-4981-859e-d24fa875db2c.dll --anonymousPipes 836 1428 --benchmarkName Algo.PriorityQueue.PQSecondTest.BuiltInPriorityQueueAddAndRemove --job Default --benchmarkId 3 in C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 121900.00 ns, 121.9000 us/op
WorkloadJitting  1: 1 op, 155187100.00 ns, 155.1871 ms/op

WorkloadPilot    1: 2 op, 238577300.00 ns, 119.2887 ms/op
WorkloadPilot    2: 3 op, 108092500.00 ns, 36.0308 ms/op
WorkloadPilot    3: 4 op, 145300400.00 ns, 36.3251 ms/op
WorkloadPilot    4: 5 op, 178163200.00 ns, 35.6326 ms/op
WorkloadPilot    5: 6 op, 216596800.00 ns, 36.0995 ms/op
WorkloadPilot    6: 7 op, 253743300.00 ns, 36.2490 ms/op
WorkloadPilot    7: 8 op, 291391600.00 ns, 36.4240 ms/op
WorkloadPilot    8: 9 op, 321290000.00 ns, 35.6989 ms/op
WorkloadPilot    9: 10 op, 354507800.00 ns, 35.4508 ms/op
WorkloadPilot   10: 11 op, 397127600.00 ns, 36.1025 ms/op
WorkloadPilot   11: 12 op, 428824000.00 ns, 35.7353 ms/op
WorkloadPilot   12: 13 op, 463339200.00 ns, 35.6415 ms/op
WorkloadPilot   13: 14 op, 497514300.00 ns, 35.5367 ms/op
WorkloadPilot   14: 15 op, 533689800.00 ns, 35.5793 ms/op

WorkloadWarmup   1: 15 op, 531372500.00 ns, 35.4248 ms/op
WorkloadWarmup   2: 15 op, 547526900.00 ns, 36.5018 ms/op
WorkloadWarmup   3: 15 op, 540842800.00 ns, 36.0562 ms/op
WorkloadWarmup   4: 15 op, 542189600.00 ns, 36.1460 ms/op
WorkloadWarmup   5: 15 op, 532625700.00 ns, 35.5084 ms/op
WorkloadWarmup   6: 15 op, 541963000.00 ns, 36.1309 ms/op

// BeforeActualRun
WorkloadActual   1: 15 op, 537743300.00 ns, 35.8496 ms/op
WorkloadActual   2: 15 op, 540364800.00 ns, 36.0243 ms/op
WorkloadActual   3: 15 op, 533980100.00 ns, 35.5987 ms/op
WorkloadActual   4: 15 op, 531784000.00 ns, 35.4523 ms/op
WorkloadActual   5: 15 op, 531561900.00 ns, 35.4375 ms/op
WorkloadActual   6: 15 op, 536743100.00 ns, 35.7829 ms/op
WorkloadActual   7: 15 op, 534199500.00 ns, 35.6133 ms/op
WorkloadActual   8: 15 op, 537330400.00 ns, 35.8220 ms/op
WorkloadActual   9: 15 op, 541317400.00 ns, 36.0878 ms/op
WorkloadActual  10: 15 op, 530401600.00 ns, 35.3601 ms/op
WorkloadActual  11: 15 op, 532117200.00 ns, 35.4745 ms/op
WorkloadActual  12: 15 op, 533703300.00 ns, 35.5802 ms/op
WorkloadActual  13: 15 op, 532118100.00 ns, 35.4745 ms/op
WorkloadActual  14: 15 op, 532512900.00 ns, 35.5009 ms/op
WorkloadActual  15: 15 op, 537005800.00 ns, 35.8004 ms/op

// AfterActualRun
WorkloadResult   1: 15 op, 537743300.00 ns, 35.8496 ms/op
WorkloadResult   2: 15 op, 540364800.00 ns, 36.0243 ms/op
WorkloadResult   3: 15 op, 533980100.00 ns, 35.5987 ms/op
WorkloadResult   4: 15 op, 531784000.00 ns, 35.4523 ms/op
WorkloadResult   5: 15 op, 531561900.00 ns, 35.4375 ms/op
WorkloadResult   6: 15 op, 536743100.00 ns, 35.7829 ms/op
WorkloadResult   7: 15 op, 534199500.00 ns, 35.6133 ms/op
WorkloadResult   8: 15 op, 537330400.00 ns, 35.8220 ms/op
WorkloadResult   9: 15 op, 541317400.00 ns, 36.0878 ms/op
WorkloadResult  10: 15 op, 530401600.00 ns, 35.3601 ms/op
WorkloadResult  11: 15 op, 532117200.00 ns, 35.4745 ms/op
WorkloadResult  12: 15 op, 533703300.00 ns, 35.5802 ms/op
WorkloadResult  13: 15 op, 532118100.00 ns, 35.4745 ms/op
WorkloadResult  14: 15 op, 532512900.00 ns, 35.5009 ms/op
WorkloadResult  15: 15 op, 537005800.00 ns, 35.8004 ms/op

// AfterAll
// Benchmark Process 28112 has exited with code 0.

Mean = 35.657 ms, StdErr = 0.058 ms (0.16%), N = 15, StdDev = 0.224 ms
Min = 35.360 ms, Q1 = 35.475 ms, Median = 35.599 ms, Q3 = 35.811 ms, Max = 36.088 ms
IQR = 0.337 ms, LowerFence = 34.969 ms, UpperFence = 36.316 ms
ConfidenceInterval = [35.418 ms; 35.897 ms] (CI 99.9%), Margin = 0.239 ms (0.67% of Mean)
Skewness = 0.5, Kurtosis = 1.86, MValue = 2

